Time,UUID,RSSI
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:30:36,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-80
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-54
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:30:41,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:30:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-56
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:51,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-73
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-50
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-58
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:30:56,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-58
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:30:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-71
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-74
20220321 05:31:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-60
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:31:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-53
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-56
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-64
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-70
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-75
20220321 05:31:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-59
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-65
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-72
20220321 05:31:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-59
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-60
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:31:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-63
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 05:31:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-76
20220321 05:31:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-90
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-61
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-66
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 05:31:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-72
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74
20220321 05:31:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-61
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-72
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:31:47,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-75
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77
20220321 05:31:52,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-78
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-70
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-73
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-76
20220321 05:31:57,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-86
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-79
20220321 05:32:02,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-83
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-52
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-61
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-71
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-71
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-74
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-74
20220321 05:32:07,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-78
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-77
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-79
20220321 05:32:12,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-85
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-55
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-68
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-70
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-73
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-73
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-77
20220321 05:32:17,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-77
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-74
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-75
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:32:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-88
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-63
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-67
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-69
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-76
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:32:27,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-84
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-58
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-70
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-71
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-75
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:32:32,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-90
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-50
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-57
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-57
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-65
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-66
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-67
20220321 05:32:37,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-77
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-51
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-54
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-59
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-71
20220321 05:32:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
