Time,UUID,RSSI
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-67
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 06:20:22,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 06:20:26,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-62
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-66
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-73
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:29,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-60
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:30,e20a39f4-73f5-4bc4-a12f-17d1ad07a964,-82
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-63
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:33,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-80
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:34,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-62
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-77
20220321 06:20:38,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 06:20:39,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-81
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-58
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-59
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-62
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a966,-64
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-69
20220321 06:20:42,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82
20220321 06:20:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-67
20220321 06:20:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 06:20:43,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82
20220321 06:20:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a963,-55
20220321 06:20:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a965,-66
20220321 06:20:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a962,-68
20220321 06:20:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a967,-73
20220321 06:20:46,e20a39f4-73f5-4bc4-a12f-17d1ad07a961,-82
